370,597,598
1275,1277,1143
1297,1122,1276
1297,1296,1122
6565,6676,6675
1123,1122,1056
1298,1297,1363
6612,3984,3985
6613,3984,6612
1078,1079,857
1120,1584,1121
1121,1077,1120
1077,1101,1078
1077,1078,857
6624,6617,6625
1078,1097,1079
1079,1097,1096
1298,1121,1297
1298,1561,1121
1078,1101,1583
3982,3971,3983
3970,3983,3971
1077,857,1804
1319,1099,1318
1099,1098,1078
6610,6630,6611
3969,3985,3984
3969,3968,3985
3987,3986,3967
3987,3967,3966
3968,3986,3985
3968,3967,3986
3974,1334,3973
1363,3965,1298
3966,3967,1340
3966,1340,1341
1320,1099,1319
1342,1319,1298
3966,1319,1342
3966,1341,1319
1081,856,1080
1100,1299,1298
1341,1321,1320
1341,1340,1321
14540,11919,11940
9364,9385,11809
1121,1299,1100
1121,1100,1077
1562,1318,1100
1080,1079,1096
1323,1097,1098
1098,1097,1078
1322,1098,1099
1321,1322,1099
1340,1339,1322
1321,1340,1322
1338,3968,3969
1338,1339,3968
1338,1337,1324
1323,1338,1324
1323,1339,1338
1323,1322,1339
1090,1086,1091
1325,1336,1335
1325,1324,1336
1325,1096,1324
1081,1080,1095
1336,1324,1337
1323,1324,1097
594,595,373
6615,6627,6626
1056,1077,858
1056,1120,1077
1082,1081,1094
3981,6616,3980
6617,3980,6616
1335,1336,3972
1095,1094,1081
1325,1326,1095
1325,1335,1326
3980,3973,3972
3988,6609,6631
1093,1094,1326
1091,1092,1328
1327,1093,1326
1327,1326,1334
1085,1092,1091
3972,1336,3971
1093,1083,1094
3973,1335,3972
3970,1336,1337
3970,3971,1336
857,1079,1080
857,1080,856
1337,3969,3970
1337,1338,3969
6614,3982,3983
6615,3982,6614
6615,6614,6627
1057,858,879
835,879,858
615,837,838
3981,6615,6616
3981,3982,6615
836,855,837
1804,858,1077
9260,6624,6625
3921,1254,1407
615,614,594
2044,835,615
838,837,854
2065,373,593
4218,6620,6379
835,858,1825
615,1825,836
836,857,856
615,836,837
858,836,1825
858,857,836
1804,857,858
836,856,855
353,371,354
594,613,595
373,2284,593
2284,373,352
595,613,596
6623,6618,6624
6617,6624,6618
371,370,354
1327,1334,1333
3980,3979,3973
3980,6618,3979
6617,6618,3980
1334,1326,1335
1330,1329,1331
1330,1090,1329
1277,1276,1122
1083,1082,1094
838,839,614
838,853,839
840,612,839
610,611,841
614,839,613
